"filename", "language", "YAML", "JSON", "Java", "Java Properties", "Log", "Markdown", "Batch", "Ini", "XML", "comment", "blank", "total"
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\flagCapture\FlagTab.class", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\flagCapture\Main2$1.class", "Java", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\flagCapture\Main2.class", "Java", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 75
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Camp.class", "Java", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Game.class", "Java", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\GameStatut.class", "Java", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\InfinityStones\Stone.class", "Java", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\InfinityStones\StonesType.class", "Java", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\GameLg$1.class", "Java", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 34
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\GameLg$2.class", "Java", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\GameLg$3.class", "Java", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\bin\fr\fitzche\lgmore\Lg\GameLg$4.class", "Java", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 35
